uid	Status	Filename	Sequence	Page	NameString	NameStringSic	Genus	GenusSic	Subgenus	OrigAuthor	CombAuthor	Citation	Cit1Author	Cit1NameString	Cit1Title	Cit1Volume	Cit1Number	Cit1Date	Cit1Pages	Cit1Status	Cit1Other	Cit2	Cit3	Cit4	varr	publication	leftovers	AfterDash	bid	extra_lines_flag	Iteration	Unicode	AdditionCorrection	TaxonRankID	IsHomonym	RLPComments	Flag
6009	1	SIL34_01_01_0165	36	99	australis	0	Cerambyx	0			J. F. Gmelin	Linn. Syst. Nat., ed. 13, I. 1789, 1849.			Linn. Syst. Nat., ed. 13, I.			1789	1849							Linn Syst Nat				0	12	australis Cerambyx, J. F. Gmelin. Linn. Syst. Nat., ed. 13, I. 1789, 1849.	0	70	0		0
11365	1	SIL34_01_01_0257	43	191	centauroata	1	Geometra	0			J. Hübner	Europ. Schmett. (Geom.) [me judice 1796], fig. [240			Europ. Schmett. (Geom.)			[me judice 1796]	fig. [240	[<em>n. et f.</em>]						Europ Schmett				1	1	centauroata (<em>sic</em>) Geometra, J. Hübner, Europ. Schmett. (Geom.) [me judice 1796], fig. [240 [<em>n. et f.</em>].	0	70	0		0
15198	1	SIL34_01_01_0318	34	252	Cossus	0		0			J. C. Fabricius	Ent. Syst. III (1) 1793, caract. gen. ; & III (2) 1794, 1			Ent. Syst. III (1)			1793	caract. gen.			& III (2) 1794, 1				Ent Syst		Lep.		0	2	Cossus J. C. Fabricius, Ent. Syst. III (1) 1793, caract. gen. ; & III (2) 1794, 1.—Lep.	0	60	0		0
21565	1	SIL34_01_01_0437	38	371	flammeus	0	Limax	0			T. Martyn	Univ. Conch. IV [1792], fig. 122.			Univ. Conch. IV			1792	fig. 122							Univ Conch				0	12	flammeus Limax, T. Martyn. Univ. Conch. IV [1792], fig. 122.	0	70	0		0
22264	1	SIL34_01_01_0449	42	383	foetida	0	Phoca	0			O. Fabricius in O. F. Müller	Z. Dan. Prod. 1776, viii.	O. F. Müller		Z. Dan. Prod.			1776	viii.							Z Dan Prod	<em>v. et.</em> Skriv. Nat. Selsk. I (2) 1791, 74			1	2	foetida Phoca, O. Fabricius in O. F. Müller, Z. Dan. Prod. 1776, viii. ; <em>v. et.</em> Skriv. Nat. Selsk. I (2) 1791, 74.	0	70	0		0
31521	1	SIL34_01_01_0605	44	539	lineatum	0	Buccinum	0			T. Martyn	Univ. Conch. III [1789], fig. 84.			Univ. Conch. III			1789	fig. 84							Univ Conch				0	12	lineatum Buccinum, T. Martyn. Univ. Conch. III [1789], fig. 84.	0	70	0		0
31790	1	SIL34_01_01_0611	22	545	lithophaga	0	Venus	0			A. J. Retzius	Mém. Ac. Roy. Sci. [Turin], 1786-7 (1788), Corresp., [11			Mém. Ac. Roy. Sci. [Turin]			1786-7 (1788)	Corresp., 11							Mém Ac Roy Sci				1	1	lithophaga Venus, A. J. Retzius, Mém. Ac. Roy. Sci. [Turin], 1786-7 (1788), Corresp., [11.	0	70	0		0
61433	1	SIL34_01_01_1131	17	1065	vulpecula	0	Viverra	0			J. C. D. Schreber	S&#x000E4;gth. III. 440 (1777), pl. cxx (1776).			Sägth. III.			(1777)	440			pl. cxx (1776)				S&#x				0	12	vulpecula Viverra, J. C. D. Schreber Sägth. III. 440 (1777), pl. cxx (1776).	0	70	0		0
61985	1	SIL34_02_01_0139	47	5	abbreviata	0	Plagusia	0			J. E. Gray	Ill. Indian Zool. II (—) 1832-51 (pl. 94)			Ill. Indian Zool. II	(—)		1832-51	(pl. 94)							Ill Indian Zool				0	1	abbreviata Plagusia, J. E. Gray, Ill. Indian Zool. II (—) 1832-51 (pl. 94).	0	70	0		0
62025	1	SIL34_02_01_0140	35	6	abbreviatus	0	Truxalis	0			Palisot de B.	Ins. Afr. Amer. (—) 1806, 18			Ins. Afr. Amer.	(—)		1806	18							Ins Afr Amer				0	1	abbreviatus Truxalis, Palisot de B., Ins. Afr. Amer. (—) 1806, 18.	0	70	0		0
62924	1	SIL34_02_01_0158	5	24	Acanthocerus	0		0			Palisot de B.	Ins. Afr. Amer. (—) 1813-20, 204			Ins. Afr. Amer.	(—)		1813-20	204							Ins Afr Amer		Hem.		0	1	Acanthocerus Palisot de B., Ins. Afr. Amer. (—) 1813-20, 204.—Hem.	0	60	1		0
63243	1	SIL34_02_01_0164	7	30	Acerana	0		0			[Acarana on plate] J. E. Gray	Ill. Indian Zool. II (—) [1832-5] (pl. 98)			Ill. Indian Zool. II	(—)		[1832-5]	(pl. 98)							Ill Indian Zool		P.		0	1	Acerana [Acarana on plate] J. E. Gray, Ill. Indian Zool. II (—) [1832-5] (pl. 98).—P.	0	60	0		0
63344	1	SIL34_02_01_0166	1	32	acetabularis	0	Tricocephalus	0			S. d. Chiaje	Mem. An. s. vert. Napoli, II (—) 1827, 225			Mem. An. s. vert. Napoli, II	(—)		1827	225							Mem An s vert Napoli				0	1	acetabularis Tricocephalus, S. d. Chiaje, Mem. An. s. vert. Napoli, II (—) 1827, 225.	0	70	0		0
63411	1	SIL34_02_01_0167	17	33	Achatia	0		0			J. Huebner	Exot. Schmett., Tab. Achatia			Exot. Schmett. Tab. Achatia			[?date]		[<em>n. et f.</em>]						Exot Schmett		Lep.		0	1	Achatia J. Huebner, Exot. Schmett., Tab. Achatia [?date].—Lep. [<em>n. et f.</em>].	0	60	0		0
