uid	Status	Filename	Sequence	Page	NameString	NameStringSic	Genus	GenusSic	Subgenus	OrigAuthor	CombAuthor	Citation	Cit1Author	Cit1NameString	Cit1Title	Cit1Volume	Cit1Number	Cit1Date	Cit1Pages	Cit1Status	Cit1Other	Cit2	Cit3	Cit4	varr	publication	leftovers	AfterDash	bid	extra_lines_flag	Iteration	Unicode	AdditionCorrection	TaxonRankID	IsHomonym	RLPComments	Flag
123	1	SIL34_01_01_0067	1	1	aalge	0	Colymbus	0			E. Pontoppidan	Danske Atlas, I. 1763, 621 ; & Danischer Atlas, I. [1765, 401.			Danske Atlas, I. 1763, 621							& Danischer Atlas, I. [1765, 401.				Danske Atlas				1	2	aalge Colymbus, E. Pontoppidan, Danske Atlas, I. 1763, 621 ; & Danischer Atlas, I. [1765, 401.	0	70	0		0
124	1	SIL34_01_01_0067	2	1	abacus	0	Papilio	0			A. J. Retzius	Gen. Sp. Ins. Geer, 1783, 32.			Gen. Sp. Ins. Geer, 1783, 32											Gen Sp Ins Geer				0	12	abacus Papilio. A. J. Retzius, Gen. Sp. Ins. Geer, 1783, 32.	0	70	0		0
125	1	SIL34_01_01_0067	3	1	abadonna	0	Sphinx	0			J. C. Fabricius	Suppl. Ent. Syst. 1798, 435			Suppl. Ent. Syst. 1798, 435											Suppl Ent Syst				0	1	abadonna Sphinx, J. C. Fabricius, Suppl. Ent. Syst. 1798, 435.	0	70	0		0
126	1	SIL34_01_01_0067	4	1	abaris	0	[Papilio]	0			P. Cramer	Uitl. Kapellen, I (8) 1776, 146			Uitl. Kapellen, I (8) 1776, 146											Uitl Kapellen				0	1	abaris [Papilio], P. Cramer, Uitl. Kapellen, I (8) 1776, 146.	0	70	0		0
127	1	SIL34_01_01_0067	5	1	abas	0	Bombyx (Cr.)	0			J. C. Fabricius	Spec. Ins. II. 1781, 173			Spec. Ins. II. 1781, 173											Spec Ins		Phalaena.		0	1	abas Bombyx (Cr.), J. C. Fabricius, Spec. Ins. II. 1781, 173.—Phalaena.	0	70	0		0
128	1	SIL34_01_01_0067	6	1	abas	0	[Phalaena]	0			P. Cramer	Uitl. Kapellen, I (7) 1775, 121			Uitl. Kapellen, I (7) 1775, 121											Uitl Kapellen				0	1	abas [Phalaena], P. Cramer, Uitl. Kapellen, I (7) 1775, 121.	0	70	0		0
129	1	SIL34_01_01_0067	7	1	abasia	0	[Phalaena]	0			C. Stoll in Cramer	Uitl. Kapellen, IV (29) 1781, 103	Cramer		Uitl. Kapellen, IV (29) 1781, 103											Uitl Kapellen				0	1	abasia [Phalaena], C. Stoll in Cramer, Uitl. Kapellen, IV (29) 1781, 103.	0	70	0		0
130	1	SIL34_01_01_0067	8	1	abbadon	0	Anthrax	0			J. C. Fabricius	Ent. Syst. IV. 1794, 262			Ent. Syst. IV. 1794, 262											Ent Syst				0	1	abbadon Anthrax, J. C. Fabricius, Ent. Syst. IV. 1794, 262.	0	70	0		0
131	1	SIL34_01_01_0067	9	1	abbas	0	Conus	0			Hwass in J. G. Bruguière	Ency. Méth. (Vers) (2) 1792, 750	J. G. Bruguière		Ency. Méth. (Vers) (2) 1792, 750											Ency Méth				0	1	abbas Conus, Hwass in J. G. Bruguière, Ency. Méth. (Vers) (2) 1792, 750.	0	70	0		0
132	1	SIL34_01_01_0067	10	1	abbaticus	0	Lituus	0			J. J. N. A. Spalowsky	Prod. Test. 1795, 9			Prod. Test. 1795, 9											Prod Test				0	1	abbaticus Lituus, J. J. N. A. Spalowsky, Prod. Test. 1795, 9.	0	70	0		0
